id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
820,Шпагат,,2022,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
820,Шпагат,,2023,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
820,Шпагат,,2024,1,all|central,369,2741,32,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
820,Шпагат,,2025,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
999,Unicef,,2022,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
999,Unicef,,2023,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
999,Unicef,,2024,1,all|central,366,2867,29,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
999,Unicef,,2025,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
250,BackInBlack,,2022,1,,,,,all,"{""2024"": ""all"", ""2025"": ""all""}",all,2025,1
250,BackInBlack,,2023,1,,,,,all,"{""2024"": ""all"", ""2025"": ""all""}",all,2025,1
250,BackInBlack,,2024,1,all,354,2816,19,all,"{""2024"": ""all"", ""2025"": ""all""}",all,2025,1
250,BackInBlack,,2025,1,all,244,2816,9,all,"{""2024"": ""all"", ""2025"": ""all""}",all,2025,1
1125,Игрок 9,,2022,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
1125,Игрок 9,,2023,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
1125,Игрок 9,,2024,1,all|central,354,2648,28,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
1125,Игрок 9,,2025,1,,,,,all|central,"{""2024"": [""all"", ""central""]}",central,2024,1
218,Гордон,,2022,1,,,,,all|chernozem_region,"{""2024"": [""all"", ""chernozem_region""], ""2023"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
218,Гордон,,2023,1,chernozem_region,255,2841,17,all|chernozem_region,"{""2024"": [""all"", ""chernozem_region""], ""2023"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
218,Гордон,,2024,1,all|chernozem_region,343,2841,28,all|chernozem_region,"{""2024"": [""all"", ""chernozem_region""], ""2023"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
218,Гордон,,2025,1,chernozem_region,101,2841,10,all|chernozem_region,"{""2024"": [""all"", ""chernozem_region""], ""2023"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
264,ДаФомин,,2022,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
264,ДаФомин,,2023,1,,,,,all|central,"{""2025"": [""all"", ""central""]}",central,2025,1
